X1,FILE_ID,ROMANIZED_TITLE,AUTHOR_LAST,AUTHOR_FIRST,DATE,GENRE,NARRATOR,IK_ENT,thought,textlength,pronouns,YulesK,YulesI,GuiraudC,ttr_mean,ttr_sd,ttr_norm,ttr_cumsum,ent_mean,ent_sd,ent_norm,ent_cumsum,nonpara_ent,period,punct,stopword
118,R_scn_072,Qingren,Pan ,Hannian,1927,ROMANTIC,0,7.195578416,0.008683517,6449,0.047759343,110.7580958,90.28685376,0.250461376,0.477924154,0.033528255,0.02922426,0.686,5.455402098,0.120965092,0.253822555,0.668,7.195578416,0.022878536,0.204242928,0.438643927
119,R_scn_074,Sannianyihou,Wang ,Duqing,1927,ROMANTIC,1,5.570770386,0.008973344,7578,0.056479282,120.1172528,83.25198729,0.251047871,0.429727035,0.028862915,0.003799483,0.438,5.266440734,0.073272788,0.015818295,0.518,5.570770386,0.023091504,0.216095123,0.498018266
120,R_scn_076,Dunchuanshangdeyiye,Yang ,Hansheng,1928,ROMANTIC,0,7.508429651,0.007606491,5916,0.03296146,157.5859628,63.45742873,0.25,0.492169154,0.035761634,0.022575897,0.352,5.395347586,0.069354738,0.126164208,0.17,7.508429651,0.020933977,0.160110421,0.463538072
121,R_scn_077,Malinying,Yang ,Hansheng,1928,ROMANTIC,0,8.223518189,0.004699739,11490,0.029677981,130.9061199,76.39062257,0.250360023,0.516017863,0.025039799,-0.001365714,0.354,5.468040182,0.08178102,0.058986477,0.702,8.223518189,0.020851116,0.151566882,0.446530911
122,R_scn_078,Shuanghan,Ye ,Dingluo,1927,ROMANTIC,0,6.642072384,0.007778738,4628,0.027873812,84.50830914,118.3315594,0.251216968,0.447448935,0.014411787,0.013650788,1,5.482408725,0.031141657,0.136767143,0.872,6.642072384,0.018046405,0.173016328,0.484388427
123,R_scn_079,Qiuye,Yuan,Jiahua,1926,ROMANTIC,0,8.322596722,0.008725795,8366,0.033707865,115.9834147,86.21922387,0.250050211,0.579779996,0.03162429,0.037575291,1,5.577420994,0.088950771,0.205612835,0.824,8.322596722,0.025495751,0.166805532,0.433427762
124,P_dig_003,Jianghuqixiazhuan,Buxiaosheng,NA,1923,POPULAR,0,7.195578416,0.006328662,1036554,0.020124374,62.10098507,161.0280415,0.250274049,0.480693251,0.036028689,-0.051272768,0,5.45559739,0.12022419,0.042207155,0,7.195578416,0.031812759,0.178387465,0.450196528
125,P_dig_008,Leizhuyuan,Tianxuwosheng,NA,1932,POPULAR,0,6.059434455,0.005664508,356783,0.018322061,53.7222516,186.1426076,0.250524204,0.469655591,0.048754428,-0.020660458,0,5.419979514,0.182872162,0.115217,0,6.059434455,0.039959251,0.207109665,0.408753932
126,P_scn_007,Bimenghen,Youqihong,NA,1914,POPULAR,0,7.675283643,0.003242349,120900,0.015516956,38.60669416,259.0224369,0.250221507,0.594973014,0.058001703,0.025180441,0.032,5.744643684,0.165629087,0.171215931,0.2,7.675283643,0.023745912,0.232049221,0.329693476
127,P_dig_009,Minguoqushi,Li,Dingyi,1915,POPULAR,0,8.528092937,0.000682738,142075,0.001654056,19.27716421,518.748499,0.250126999,0.652756282,0.043913056,0.009663623,0,5.982235677,0.117031851,0.334737106,0,8.528092937,0.048223934,0.202657394,0.246359735
